code,name,market,unknown1,unknown2,unknown3,price,bonus1,bonus2
399990,煤炭等权,0,100,20593,2,1648.517,0,0
399991,一带一路,0,100,80226,2,1287.790,0,0
399992,CSWD并购,0,100,39241,2,1155.250,0,0
399993,CSWD生科,0,100,9256,2,2072.504,0,0
399994,信息安全,0,100,56505,2,1141.051,0,0
399995,基建工程,0,100,38676,2,3933.848,0,0
399996,智能家居,0,100,102134,2,1782.929,0,0
399997,中证白酒,0,100,7239,2,4633.870,0,0
399998,中证煤炭,0,100,20593,2,1302.704,0,0
000001,平安银行,0,100,8205,2,11.290,6871,6761
000002,万 科Ａ,0,100,3103,2,23.490,6873,6802
000004,国农科技,0,100,24,2,15.900,6811,6611
000005,世纪星源,0,100,484,2,2.730,6858,6544
000006,深振业Ａ,0,100,844,2,5.020,6874,6803
000007,全新好,0,100,1531,2,7.620,6817,6544
000008,神州高铁,0,100,2338,2,4.170,6867,6859
000009,中国宝安,0,100,503,2,3.960,6873,6816
000010,美丽生态,0,100,84,2,4.320,6817,6817
000011,深物业A,0,100,285,2,8.720,6816,6747
000012,南 玻Ａ,0,100,336,2,4.090,6869,6843
000014,沙河股份,0,100,324,2,9.160,6874,6739
000016,深康佳Ａ,0,100,727,2,3.400,6871,6724
000017,深中华A,0,100,931,2,4.260,6873,6808
000018,神州长城,0,100,1577,2,2.060,6870,6870
000019,深深宝Ａ,0,100,369,2,7.530,6844,6814
000020,深华发Ａ,0,100,65,2,10.150,6814,6544
000021,深科技,0,100,297,2,5.160,6821,6804
000022,深赤湾Ａ,0,100,192,2,17.300,6843,6711
000023,深天地Ａ,0,100,266,2,10.980,6813,6796
000025,特 力Ａ,0,100,147,2,25.860,6859,6682
000026,飞亚达Ａ,0,100,60,2,7.020,6867,6776
000027,深圳能源,0,100,205,2,5.190,6871,6739
000028,国药一致,0,100,43,2,43.230,6874,6731
000029,深深房Ａ,0,100,546,2,11.170,6815,6544
000030,富奥股份,0,100,209,2,3.920,6815,6815
000031,中粮地产,0,100,381,2,4.700,6815,6815
000032,深桑达Ａ,0,100,78,2,6.610,6874,6811
000034,神州数码,0,100,193,2,13.350,6824,6692
000035,中国天楹,0,100,308,2,4.470,6870,6781
000036,华联控股,0,100,307,2,4.460,6869,6759
000037,深南电A,0,100,58,2,4.640,6873,6655
000038,深大通,0,100,112,2,12.210,6869,6807
000039,中集集团,0,100,388,2,10.580,6856,6856
000040,东旭蓝天,0,100,878,2,10.080,6864,6817
000042,中洲控股,0,100,104,2,13.490,6869,6790
000043,中航善达,0,100,109,2,6.280,6862,6809
000045,深纺织Ａ,0,100,152,2,5.530,6815,6815
000046,泛海控股,0,100,162,2,5.050,6817,6817
000048,*ST康达,0,100,13,2,21.040,6817,6544
000049,德赛电池,0,100,104,2,24.570,6863,6692
000050,深天马Ａ,0,100,713,2,11.070,6873,6809
000055,方大集团,0,100,291,2,3.960,6865,6817
000056,皇庭国际,0,100,1994,2,6.000,6824,6824
000058,深 赛 格,0,100,101,2,4.070,6838,6817
000059,华锦股份,0,100,607,2,6.100,6870,6572
000060,中金岭南,0,100,1028,2,4.210,6815,6815
000061,农 产 品,0,100,276,2,4.010,6821,6817
000062,深圳华强,0,100,63,2,18.030,6873,6697
000063,中兴通讯,0,100,5387,2,17.440,6873,6817
000065,北方国际,0,100,137,2,8.550,6786,6739
000066,中国长城,0,100,1350,2,5.130,6858,6817
000068,华控赛格,0,100,185,2,2.350,6866,6814
000069,华侨城Ａ,0,100,1165,2,5.730,6873,6808
000070,特发信息,0,100,140,2,6.240,6801,6801
000078,海王生物,0,100,2723,2,2.920,6821,6814
000088,盐 田 港,0,100,297,2,4.960,6872,6754
000089,深圳机场,0,100,507,2,7.650,6874,6732
000090,天健集团,0,100,226,2,5.020,6856,6807
000096,广聚能源,0,100,103,2,8.420,6807,6730
000099,中信海直,0,100,104,2,5.380,6814,6719
000100,TCL 集团,0,100,2622,2,2.440,6815,6815
000150,宜华健康,0,100,803,2,9.990,6863,6863
000151,中成股份,0,100,481,2,10.790,6871,6733
000153,丰原药业,0,100,220,2,5.380,6821,6684
000155,川能动力,0,100,498,2,3.530,6846,6328
000156,华数传媒,0,100,111,2,8.120,6869,6800
000157,中联重科,0,100,743,2,3.310,6838,6842
000158,常山北明,0,100,244,2,4.360,6857,6782
000159,国际实业,0,100,180,2,3.690,6814,6551
000166,申万宏源,0,100,2437,2,4.520,6874,6745
000301,东方盛虹,0,100,385,2,5.350,6842,6816
000333,美的集团,0,100,976,2,40.300,6817,6787
000338,潍柴动力,0,100,1704,2,7.660,6815,6864
000400,许继电气,0,100,679,2,8.740,6873,6810
000401,冀东水泥,0,100,999,2,10.450,6865,6796
000402,金 融 街,0,100,418,2,6.380,6859,6816
000403,ST生化,0,100,28,2,21.200,6817,6638
000404,长虹华意,0,100,80,2,3.740,6865,6789
000407,胜利股份,0,100,500,2,3.670,6808,6808
000408,藏格控股,0,100,107,2,11.010,6821,6816
000409,*ST地矿,0,100,51,2,4.010,6856,6856
000410,沈阳机床,0,100,251,2,6.450,6817,6817
000411,英特集团,0,100,87,2,11.100,6871,6797
000413,东旭光电,0,100,2829,2,4.210,6871,6758
000415,渤海金控,0,100,1484,2,3.910,6821,6817
000416,民生控股,0,100,1294,2,4.320,6817,6817
000417,合肥百货,0,100,158,2,4.510,6874,6802
000418,小天鹅Ａ,0,100,122,2,46.500,6794,6712
000419,通程控股,0,100,119,2,4.000,6874,6404
000420,吉林化纤,0,100,567,2,1.820,6782,6782
000421,南京公用,0,100,157,2,4.350,6873,6732
000422,*ST宜化,0,100,389,2,2.700,6821,6685
000423,东阿阿胶,0,100,196,2,40.330,6816,6787
000425,徐工机械,0,100,2116,2,3.320,6817,6817
000426,兴业矿业,0,100,832,2,5.000,6858,6796
000428,华天酒店,0,100,106,2,2.500,6874,6815
000429,粤高速Ａ,0,100,212,2,7.370,6814,6814
000430,张家界,0,100,59,2,4.900,6779,6775
000488,晨鸣纸业,0,100,827,2,5.670,6873,6814
000498,山东路桥,0,100,1358,2,4.870,6814,6814
000501,鄂武商Ａ,0,100,326,2,9.710,6874,6811
000502,绿景控股,0,100,69,2,6.890,6873,6544
000503,国新健康,0,100,708,2,14.310,6811,6544
000504,南华生物,0,100,147,2,14.570,6817,6544
000505,京粮控股,0,100,327,2,5.600,6870,6544
000506,中润资源,0,100,1391,2,3.550,6816,6544
000507,珠海港,0,100,1533,2,7.500,6874,6682
000509,华塑控股,0,100,1594,2,2.910,6874,6811
000510,金路集团,0,100,259,2,4.190,6872,6803
000513,丽珠集团,0,100,306,2,26.850,6873,6740
000514,渝 开 发,0,100,97,2,3.570,6872,6732
000516,国际医学,0,100,584,2,4.720,6873,6810
000517,荣安地产,0,100,629,2,2.340,6817,6817
000518,四环生物,0,100,85,2,3.140,6817,6544
000519,中兵红箭,0,100,613,2,6.360,6873,6800
000520,长航凤凰,0,100,274,2,3.000,6816,6544
000521,长虹美菱,0,100,274,2,2.810,6865,6801
000523,广州浪奇,0,100,130,2,3.870,6814,6803
000524,岭南控股,0,100,37,2,6.650,6816,6751
000525,红 太 阳,0,100,97,2,14.180,6874,6753
000526,紫光学大,0,100,155,2,17.190,6815,3768
000528,柳 工,0,100,870,2,7.210,6872,6865
000529,广弘控股,0,100,66,2,4.380,6821,6747
000530,大冷股份,0,100,131,2,3.110,6874,6811
000531,穗恒运Ａ,0,100,83,2,4.220,6874,6804
000532,华金资本,0,100,199,2,8.120,6872,6759
000533,万 家 乐,0,100,979,2,2.600,6872,6752
000534,万泽股份,0,100,119,2,10.450,6864,6789
000536,华映科技,0,100,1059,2,1.940,6859,6800
000537,广宇发展,0,100,346,2,7.430,6874,6874
000538,云南白药,0,100,191,2,70.230,6874,6753
000539,粤电力Ａ,0,100,97,2,3.850,6817,6817
000540,中天金融,0,100,2265,2,4.870,6818,6818
000541,佛山照明,0,100,128,2,5.400,6873,6816
000543,皖能电力,0,100,416,2,4.000,6816,6730
000544,中原环保,0,100,718,2,4.880,6874,6811
000545,金浦钛业,0,100,310,2,3.760,6873,6719
000546,金圆股份,0,100,108,2,8.880,6870,6808
000547,航天发展,0,100,561,2,7.080,6874,6810
000548,湖南投资,0,100,72,2,3.930,6874,6747
000550,江铃汽车,0,100,50,2,10.240,6872,6815
000551,创元科技,0,100,83,2,5.120,6874,6733
000552,靖远煤电,0,100,485,2,2.640,6817,6685
000553,沙隆达Ａ,0,100,188,2,9.900,6865,6814
000554,泰山石油,0,100,205,2,4.950,6872,6781
000555,神州信息,0,100,313,2,9.820,6871,6816
000557,西部创业,0,100,686,2,3.570,6787,6544
000558,莱茵体育,0,100,352,2,2.850,6874,6816
000559,万向钱潮,0,100,256,2,4.900,6867,6815
000560,我爱我家,0,100,167,2,5.480,6865,6816
000561,烽火电子,0,100,121,2,5.530,6817,6789
000563,陕国投Ａ,0,100,2098,2,2.940,6871,6785
000564,供销大集,0,100,1107,2,2.560,6844,6844
000565,渝三峡Ａ,0,100,105,2,4.180,6871,6739
000566,海南海药,0,100,592,2,5.180,6872,6801
000567,海德股份,0,100,198,2,11.340,6817,6817
000568,泸州老窖,0,100,702,2,39.450,6871,6830
000570,苏常柴Ａ,0,100,71,2,3.750,6810,6732
000571,新大洲Ａ,0,100,493,2,2.660,6815,6815
